id,sensor,reading,emotional_state,color,size,x,y,distance_from_center,branch_angle,time_index
air_quality_d0_h14,air_quality,12.1,thriving,#FF69B4,7.7,23.0,-48.8,53.9,5.152,14
light_d0_h15,light,581.8,stable,#FF8C00,8.8,56.8,29.0,63.8,0.471,15
humidity_d0_h15,humidity,54.9,content,#00CED1,8.0,-33.7,66.1,74.1,2.042,15
nutrients_d0_h15,nutrients,1085.6,thriving,#00FF7F,8.8,-58.9,-30.0,66.1,3.613,15
air_quality_d0_h15,air_quality,13.3,thriving,#FF69B4,9.4,28.6,-56.2,63.1,5.184,15
light_d0_h16,light,470.0,content,#FFA500,6.5,64.1,35.3,73.2,0.503,16
humidity_d0_h16,humidity,57.5,thriving,#00FFFF,6.8,-32.0,58.2,66.5,2.073,16
nutrients_d0_h16,nutrients,1296.3,stable,#90EE90,9.6,-62.1,-34.1,70.8,3.644,16
air_quality_d0_h16,air_quality,11.0,thriving,#FF69B4,9.3,31.1,-56.6,64.6,5.215,16
light_d0_h17,light,339.8,concerned,#FF6347,7.1,57.0,33.7,66.3,0.534,17
humidity_d0_h17,humidity,54.6,content,#00CED1,8.9,-32.6,55.1,64.0,2.105,17
nutrients_d0_h17,nutrients,1233.9,stable,#90EE90,6.7,-64.1,-37.9,74.5,3.676,17
air_quality_d0_h17,air_quality,19.7,concerned,#DA70D6,6.6,31.6,-53.5,62.1,5.246,17
light_d0_h18,light,200.0,stressed,#FF4500,6.6,58.3,37.0,69.0,0.565,18
humidity_d0_h18,humidity,56.6,content,#00CED1,10.0,-41.3,65.1,77.2,2.136,18
nutrients_d0_h18,nutrients,1094.8,thriving,#00FF7F,6.6,-55.8,-35.4,66.1,3.707,18
air_quality_d0_h18,air_quality,14.3,thriving,#FF69B4,8.8,42.8,-67.5,79.9,5.278,18
light_d0_h19,light,40.0,critical,#DC143C,9.3,56.0,38.1,67.7,0.597,19
humidity_d0_h19,humidity,60.1,thriving,#00FFFF,9.1,-42.3,62.2,75.2,2.168,19
nutrients_d0_h19,nutrients,1090.5,thriving,#00FF7F,10.0,-61.2,-41.6,74.0,3.738,19
air_quality_d0_h19,air_quality,19.0,concerned,#DA70D6,8.2,42.4,-62.4,75.4,5.309,19
light_d0_h20,light,40.0,critical,#DC143C,7.8,68.0,49.4,84.1,0.628,20
humidity_d0_h20,humidity,61.2,thriving,#00FFFF,8.5,-49.2,67.7,83.6,2.199,20
nutrients_d0_h20,nutrients,1100.6,thriving,#00FF7F,8.1,-58.4,-42.4,72.1,3.770,20
air_quality_d0_h20,air_quality,12.4,thriving,#FF69B4,9.8,47.0,-64.7,79.9,5.341,20
light_d0_h21,light,40.0,critical,#DC143C,6.4,63.2,49.0,80.0,0.660,21
humidity_d0_h21,humidity,65.7,content,#00CED1,7.7,-45.1,58.1,73.6,2.231,21
nutrients_d0_h21,nutrients,1090.4,thriving,#00FF7F,9.6,-66.7,-51.7,84.4,3.801,21
air_quality_d0_h21,air_quality,21.0,stressed,#9370DB,8.2,55.6,-71.7,90.7,5.372,21
light_d0_h22,light,40.0,critical,#DC143C,8.1,60.7,50.3,78.8,0.691,22
humidity_d0_h22,humidity,67.3,stable,#20B2AA,8.8,-60.4,73.0,94.8,2.262,22
nutrients_d0_h22,nutrients,1107.5,thriving,#00FF7F,9.0,-62.4,-51.6,81.0,3.833,22
air_quality_d0_h22,air_quality,16.4,content,#FF1493,7.2,53.3,-64.4,83.6,5.404,22
light_d0_h23,light,40.0,critical,#DC143C,8.9,66.3,58.5,88.4,0.723,23
humidity_d0_h23,humidity,68.3,stable,#20B2AA,9.7,-56.3,63.8,85.1,2.293,23
nutrients_d0_h23,nutrients,1278.0,stable,#90EE90,9.2,-67.6,-59.6,90.2,3.864,23
air_quality_d0_h23,air_quality,15.3,thriving,#FF69B4,7.1,58.9,-66.8,89.1,5.435,23
light_d1_h0,light,40.0,critical,#DC143C,3.9,64.3,60.4,88.3,0.754,24
humidity_d1_h0,humidity,67.3,stable,#20B2AA,3.3,-68.2,72.6,99.6,2.325,24
nutrients_d1_h0,nutrients,1096.3,thriving,#00FF7F,4.3,-72.0,-67.7,98.8,3.896,24
air_quality_d1_h0,air_quality,12.4,thriving,#FF69B4,5.0,57.0,-60.7,83.2,5.466,24
light_d1_h1,light,40.0,critical,#DC143C,3.1,63.1,63.1,89.2,0.785,25
humidity_d1_h1,humidity,66.5,stable,#20B2AA,3.5,-62.2,62.2,88.0,2.356,25
nutrients_d1_h1,nutrients,1085.8,thriving,#00FF7F,3.8,-74.1,-74.1,104.8,3.927,25
air_quality_d1_h1,air_quality,14.4,thriving,#FF69B4,3.2,64.5,-64.5,91.2,5.498,25
light_d1_h2,light,40.0,critical,#DC143C,4.3,61.5,65.5,89.9,0.817,26
humidity_d1_h2,humidity,66.6,stable,#20B2AA,4.6,-78.1,73.3,107.1,2.388,26
nutrients_d1_h2,nutrients,1106.6,thriving,#00FF7F,3.0,-66.8,-71.2,97.6,3.958,26
air_quality_d1_h2,air_quality,17.4,stable,#C71585,4.5,68.1,-63.9,93.4,5.529,26
light_d1_h3,light,40.0,critical,#DC143C,3.2,68.1,77.2,102.9,0.848,27
humidity_d1_h3,humidity,70.8,stable,#20B2AA,3.6,-73.3,64.6,97.7,2.419,27
nutrients_d1_h3,nutrients,1093.3,thriving,#00FF7F,4.5,-64.0,-72.6,96.8,3.990,27
air_quality_d1_h3,air_quality,37.0,critical,#8A2BE2,4.6,77.3,-68.1,103.0,5.561,27
light_d1_h4,light,40.0,critical,#DC143C,4.3,68.0,82.2,106.7,0.880,28
humidity_d1_h4,humidity,68.9,stable,#20B2AA,4.9,-82.2,68.0,106.7,2.450,28
nutrients_d1_h4,nutrients,1101.2,thriving,#00FF7F,3.3,-71.3,-86.1,111.8,4.021,28
air_quality_d1_h4,air_quality,18.3,stable,#C71585,4.8,72.9,-60.3,94.6,5.592,28
light_d1_h5,light,40.0,critical,#DC143C,3.6,64.7,83.4,105.5,0.911,29
humidity_d1_h5,humidity,66.0,content,#00CED1,4.3,-77.9,60.5,98.6,2.482,29
nutrients_d1_h5,nutrients,1085.1,thriving,#00FF7F,3.5,-66.3,-85.5,108.2,4.053,29
air_quality_d1_h5,air_quality,12.2,thriving,#FF69B4,4.0,88.3,-68.5,111.8,5.623,29
light_d1_h6,light,200.0,stressed,#FF4500,4.3,67.3,92.7,114.5,0.942,30
humidity_d1_h6,humidity,58.3,thriving,#00FFFF,4.3,-86.8,63.1,107.3,2.513,30
nutrients_d1_h6,nutrients,1086.2,thriving,#00FF7F,4.6,-61.8,-85.1,105.1,4.084,30
air_quality_d1_h6,air_quality,25.0,critical,#8A2BE2,3.2,85.4,-62.1,105.6,5.655,30
light_d1_h7,light,339.8,concerned,#FF6347,3.5,60.2,88.5,107.1,0.974,31
humidity_d1_h7,humidity,60.3,thriving,#00FFFF,3.2,-86.1,58.5,104.1,2.545,31
nutrients_d1_h7,nutrients,1102.2,thriving,#00FF7F,3.3,-67.2,-98.9,119.5,4.115,31
air_quality_d1_h7,air_quality,20.3,concerned,#DA70D6,4.6,88.2,-59.9,106.6,5.686,31
light_d1_h8,light,470.0,content,#FFA500,3.2,61.9,97.5,115.5,1.005,32
humidity_d1_h8,humidity,53.9,stable,#20B2AA,3.2,-92.2,58.5,109.3,2.576,32
nutrients_d1_h8,nutrients,1091.5,thriving,#00FF7F,3.3,-62.5,-98.5,116.7,4.147,32
air_quality_d1_h8,air_quality,16.2,content,#FF1493,4.9,90.3,-57.3,106.9,5.718,32
light_d1_h9,light,581.8,stable,#FF8C00,4.2,62.0,104.9,121.8,1.037,33
humidity_d1_h9,humidity,55.3,content,#00CED1,4.6,-97.6,57.7,113.4,2.608,33
nutrients_d1_h9,nutrients,1100.9,thriving,#00FF7F,3.3,-64.3,-108.8,126.4,4.178,33
air_quality_d1_h9,air_quality,13.4,thriving,#FF69B4,4.5,96.5,-57.1,112.1,5.749,33
light_d1_h10,light,667.7,concerned,#FF6347,4.2,62.1,113.0,128.9,1.068,34
humidity_d1_h10,humidity,48.6,stable,#20B2AA,3.1,-108.9,59.9,124.3,2.639,34
nutrients_d1_h10,nutrients,1088.0,thriving,#00FF7F,4.7,-58.0,-105.5,120.3,4.210,34
air_quality_d1_h10,air_quality,16.6,stable,#C71585,3.8,114.5,-63.0,130.7,5.781,34
light_d1_h11,light,721.6,stressed,#FF4500,3.1,57.0,111.8,125.5,1.100,35
humidity_d1_h11,humidity,46.6,stable,#20B2AA,3.7,-105.8,53.9,118.8,2.670,35
nutrients_d1_h11,nutrients,1104.3,thriving,#00FF7F,4.4,-53.6,-105.3,118.2,4.241,35
air_quality_d1_h11,air_quality,14.3,thriving,#FF69B4,4.0,103.1,-52.5,115.7,5.812,35
light_d1_h12,light,740.0,stressed,#FF4500,3.5,56.5,120.1,132.8,1.131,36
humidity_d1_h12,humidity,52.8,stable,#20B2AA,3.7,-114.9,54.1,127.0,2.702,36
nutrients_d1_h12,nutrients,1102.3,thriving,#00FF7F,3.7,-55.3,-117.4,129.8,4.273,36
air_quality_d1_h12,air_quality,15.3,thriving,#FF69B4,3.0,123.1,-57.9,136.0,5.843,36
light_d1_h13,light,721.6,stressed,#FF4500,3.7,52.7,121.8,132.7,1.162,37
humidity_d1_h13,humidity,48.4,stable,#20B2AA,5.0,-126.0,54.5,137.3,2.733,37
nutrients_d1_h13,nutrients,1093.7,thriving,#00FF7F,4.8,-55.9,-129.1,140.7,4.304,37
air_quality_d1_h13,air_quality,18.5,stable,#C71585,3.5,119.9,-51.9,130.7,5.875,37
light_d1_h14,light,667.7,concerned,#FF6347,3.6,48.2,121.8,131.0,1.194,38
humidity_d1_h14,humidity,54.0,stable,#20B2AA,3.6,-129.8,51.4,139.6,2.765,38
nutrients_d1_h14,nutrients,1090.6,thriving,#00FF7F,3.5,-45.9,-116.0,124.8,4.335,38
air_quality_d1_h14,air_quality,12.5,thriving,#FF69B4,4.3,130.6,-51.7,140.4,5.906,38
light_d1_h15,light,581.8,stable,#FF8C00,3.6,48.2,133.9,142.3,1.225,39
humidity_d1_h15,humidity,55.9,content,#00CED1,3.6,-132.3,47.6,140.7,2.796,39
nutrients_d1_h15,nutrients,1112.8,thriving,#00FF7F,3.6,-43.8,-121.7,129.3,4.367,39
air_quality_d1_h15,air_quality,18.4,stable,#C71585,4.9,128.6,-46.3,136.6,5.938,39
light_d1_h16,light,470.0,content,#FFA500,3.8,42.7,131.5,138.3,1.257,40
humidity_d1_h16,humidity,54.6,content,#00CED1,3.4,-137.2,44.6,144.3,2.827,40
nutrients_d1_h16,nutrients,1100.9,thriving,#00FF7F,4.7,-43.4,-133.5,140.4,4.398,40
air_quality_d1_h16,air_quality,13.7,thriving,#FF69B4,4.0,137.6,-44.7,144.7,5.969,40
light_d1_h17,light,339.8,concerned,#FF6347,4.8,42.6,146.6,152.7,1.288,41
humidity_d1_h17,humidity,61.3,thriving,#00FFFF,4.0,-131.7,38.3,137.2,2.859,41
nutrients_d1_h17,nutrients,1090.8,thriving,#00FF7F,3.5,-42.4,-146.0,152.0,4.430,41
air_quality_d1_h17,air_quality,16.6,stable,#C71585,4.9,132.1,-38.4,137.5,6.000,41
light_d1_h18,light,200.0,stressed,#FF4500,4.0,37.8,147.1,151.9,1.319,42
humidity_d1_h18,humidity,63.7,content,#00CED1,3.2,-146.7,37.7,151.5,2.890,42
nutrients_d1_h18,nutrients,1088.3,thriving,#00FF7F,3.5,-34.9,-135.8,140.2,4.461,42
air_quality_d1_h18,air_quality,14.1,thriving,#FF69B4,3.1,138.6,-35.6,143.1,6.032,42
light_d1_h19,light,40.0,critical,#DC143C,3.2,32.2,143.9,147.4,1.351,43
humidity_d1_h19,humidity,59.5,thriving,#00FFFF,3.8,-146.3,32.7,149.9,2.922,43
nutrients_d1_h19,nutrients,1092.7,thriving,#00FF7F,3.8,-31.3,-140.1,143.5,4.492,43
air_quality_d1_h19,air_quality,17.3,stable,#C71585,4.5,148.0,-33.1,151.6,6.063,43
light_d1_h20,light,40.0,critical,#DC143C,4.8,29.9,157.0,159.8,1.382,44
humidity_d1_h20,humidity,66.2,stable,#20B2AA,3.3,-151.8,29.0,154.5,2.953,44
nutrients_d1_h20,nutrients,1095.9,thriving,#00FF7F,4.5,-27.0,-141.8,144.3,4.524,44
air_quality_d1_h20,air_quality,15.1,thriving,#FF69B4,3.4,157.7,-30.1,160.5,6.095,44
light_d1_h21,light,40.0,critical,#DC143C,4.8,23.4,147.5,149.4,1.414,45
humidity_d1_h21,humidity,66.3,stable,#20B2AA,3.9,-153.4,24.3,155.3,2.985,45
nutrients_d1_h21,nutrients,1093.0,thriving,#00FF7F,3.3,-23.0,-145.5,147.3,4.555,45
air_quality_d1_h21,air_quality,15.9,content,#FF1493,4.3,150.0,-23.8,151.9,6.126,45
light_d1_h22,light,40.0,critical,#DC143C,4.1,20.5,162.3,163.6,1.445,46
humidity_d1_h22,humidity,67.7,stable,#20B2AA,4.7,-149.2,18.8,150.4,3.016,46
nutrients_d1_h22,nutrients,1110.5,thriving,#00FF7F,3.9,-20.3,-160.5,161.8,4.587,46
air_quality_d1_h22,air_quality,15.2,thriving,#FF69B4,3.7,161.3,-20.4,162.6,6.158,46
light_d1_h23,light,40.0,critical,#DC143C,4.9,15.4,163.2,163.9,1.477,47
humidity_d1_h23,humidity,72.9,stable,#20B2AA,3.5,-159.7,15.1,160.4,3.047,47
nutrients_d1_h23,nutrients,1086.5,thriving,#00FF7F,4.6,-14.5,-153.1,153.8,4.618,47
air_quality_d1_h23,air_quality,17.6,stable,#C71585,3.4,168.0,-15.9,168.8,6.189,47
light_d2_h0,light,40.0,critical,#DC143C,3.6,10.4,164.9,165.2,1.508,48
humidity_d2_h0,humidity,73.6,stable,#20B2AA,4.5,-167.2,10.5,167.5,3.079,48
nutrients_d2_h0,nutrients,1088.1,thriving,#00FF7F,4.0,-10.2,-162.4,162.7,4.650,48
air_quality_d2_h0,air_quality,14.1,thriving,#FF69B4,3.9,167.1,-10.5,167.4,6.220,48
light_d2_h1,light,40.0,critical,#DC143C,4.5,5.4,173.3,173.4,1.539,49
humidity_d2_h1,humidity,70.2,stable,#20B2AA,4.0,-168.9,5.3,169.0,3.110,49
nutrients_d2_h1,nutrients,1090.8,thriving,#00FF7F,4.9,-5.2,-166.6,166.7,4.681,49
air_quality_d2_h1,air_quality,14.6,thriving,#FF69B4,4.5,166.8,-5.2,166.9,6.252,49
light_d2_h2,light,40.0,critical,#DC143C,3.5,0.0,172.0,172.0,1.571,50
humidity_d2_h2,humidity,65.9,content,#00CED1,5.0,-177.9,0.0,177.9,3.142,50
nutrients_d2_h2,nutrients,1087.0,thriving,#00FF7F,4.1,-0.0,-175.4,175.4,4.712,50
air_quality_d2_h2,air_quality,18.2,stable,#C71585,4.0,179.6,-0.0,179.6,6.283,50
light_d2_h3,light,40.0,critical,#DC143C,4.4,-5.4,170.3,170.4,1.602,51
humidity_d2_h3,humidity,63.5,content,#00CED1,4.9,-180.8,-5.7,180.9,3.173,51
nutrients_d2_h3,nutrients,1085.2,thriving,#00FF7F,4.2,5.7,-181.8,181.9,4.744,51
air_quality_d2_h3,air_quality,15.5,thriving,#FF69B4,4.2,167.2,5.3,167.2,6.315,51
light_d2_h4,light,40.0,critical,#DC143C,4.5,-10.6,169.2,169.5,1.634,52
humidity_d2_h4,humidity,67.6,stable,#20B2AA,4.1,-171.7,-10.8,172.0,3.204,52
nutrients_d2_h4,nutrients,1110.1,thriving,#00FF7F,3.9,10.8,-172.0,172.3,4.775,52
air_quality_d2_h4,air_quality,22.2,stressed,#9370DB,3.5,170.3,10.7,170.6,6.346,52
light_d2_h5,light,40.0,critical,#DC143C,3.3,-16.2,170.9,171.6,1.665,53
humidity_d2_h5,humidity,61.0,thriving,#00FFFF,4.1,-177.6,-16.8,178.4,3.236,53
nutrients_d2_h5,nutrients,1101.1,thriving,#00FF7F,4.0,16.7,-176.2,177.0,4.807,53
air_quality_d2_h5,air_quality,14.2,thriving,#FF69B4,4.3,180.2,17.0,181.0,6.377,53
light_d2_h6,light,200.0,stressed,#FF4500,4.4,-23.8,188.3,189.8,1.696,54
humidity_d2_h6,humidity,59.1,thriving,#00FFFF,3.7,-177.3,-22.4,178.7,3.267,54
nutrients_d2_h6,nutrients,1107.6,thriving,#00FF7F,3.3,23.4,-185.2,186.6,4.838,54
air_quality_d2_h6,air_quality,13.6,thriving,#FF69B4,4.9,186.6,23.6,188.1,6.409,54
light_d2_h7,light,339.8,concerned,#FF6347,4.4,-28.3,178.5,180.8,1.728,55
humidity_d2_h7,humidity,57.6,thriving,#00FFFF,3.5,-181.3,-28.7,183.5,3.299,55
nutrients_d2_h7,nutrients,1109.4,thriving,#00FF7F,3.5,30.0,-189.3,191.6,4.869,55
air_quality_d2_h7,air_quality,13.4,thriving,#FF69B4,3.8,173.8,27.5,175.9,6.440,55
light_d2_h8,light,470.0,content,#FFA500,3.6,-34.5,181.0,184.2,1.759,56
humidity_d2_h8,humidity,57.8,thriving,#00FFFF,3.9,-176.2,-33.6,179.4,3.330,56
nutrients_d2_h8,nutrients,1092.9,thriving,#00FF7F,3.1,33.6,-175.9,179.1,4.901,56
air_quality_d2_h8,air_quality,14.4,thriving,#FF69B4,5.0,185.9,35.5,189.2,6.472,56
light_d2_h9,light,581.8,stable,#FF8C00,4.9,-41.3,184.9,189.5,1.791,57
humidity_d2_h9,humidity,55.2,content,#00CED1,4.8,-190.0,-42.5,194.7,3.362,57
nutrients_d2_h9,nutrients,1085.9,thriving,#00FF7F,3.1,41.2,-184.3,188.9,4.932,57
air_quality_d2_h9,air_quality,16.1,content,#FF1493,4.3,183.2,41.0,187.7,6.503,57
light_d2_h10,light,667.7,concerned,#FF6347,4.2,-50.6,196.9,203.3,1.822,58
humidity_d2_h10,humidity,49.4,stable,#20B2AA,4.2,-186.5,-47.9,192.6,3.393,58
nutrients_d2_h10,nutrients,1100.6,thriving,#00FF7F,3.3,47.3,-184.4,190.3,4.964,58
air_quality_d2_h10,air_quality,13.1,thriving,#FF69B4,4.2,193.7,49.7,199.9,6.535,58
light_d2_h11,light,721.6,stressed,#FF4500,4.8,-57.2,196.7,204.9,1.854,59
humidity_d2_h11,humidity,54.0,content,#00CED1,4.6,-191.3,-55.6,199.2,3.424,59
nutrients_d2_h11,nutrients,1086.9,thriving,#00FF7F,3.3,56.8,-195.6,203.7,4.995,59
air_quality_d2_h11,air_quality,13.4,thriving,#FF69B4,4.9,181.7,52.8,189.2,6.566,59
light_d2_h12,light,740.0,stressed,#FF4500,4.0,-60.9,187.5,197.2,1.885,60
humidity_d2_h12,humidity,52.0,stable,#20B2AA,3.9,-181.9,-59.1,191.3,3.456,60
nutrients_d2_h12,nutrients,1086.3,thriving,#00FF7F,4.9,63.5,-195.6,205.6,5.027,60
air_quality_d2_h12,air_quality,17.5,stable,#C71585,3.6,182.2,59.2,191.6,6.597,60
light_d2_h13,light,721.6,stressed,#FF4500,3.4,-71.4,198.2,210.7,1.916,61
humidity_d2_h13,humidity,53.1,stable,#20B2AA,3.1,-198.8,-71.6,211.3,3.487,61
nutrients_d2_h13,nutrients,1102.1,thriving,#00FF7F,4.0,71.4,-198.4,210.9,5.058,61
air_quality_d2_h13,air_quality,18.2,stable,#C71585,4.4,183.4,66.0,194.9,6.629,61
light_d2_h14,light,667.7,concerned,#FF6347,4.7,-73.8,186.3,200.4,1.948,62
humidity_d2_h14,humidity,53.8,stable,#20B2AA,3.3,-186.2,-73.7,200.3,3.519,62
nutrients_d2_h14,nutrients,1082.1,thriving,#00FF7F,4.6,77.1,-194.8,209.5,5.089,62
air_quality_d2_h14,air_quality,12.7,thriving,#FF69B4,4.1,184.1,72.9,198.0,6.660,62
light_d2_h15,light,581.8,stable,#FF8C00,3.4,-79.2,183.1,199.5,1.979,63
humidity_d2_h15,humidity,51.6,stable,#20B2AA,3.7,-183.9,-79.6,200.3,3.550,63
nutrients_d2_h15,nutrients,1102.0,thriving,#00FF7F,3.8,85.3,-197.1,214.7,5.121,63
air_quality_d2_h15,air_quality,16.0,content,#FF1493,3.3,184.7,79.9,201.3,6.692,63
light_d2_h16,light,470.0,content,#FFA500,3.9,-91.3,194.0,214.4,2.011,64
humidity_d2_h16,humidity,58.6,thriving,#00FFFF,3.0,-200.0,-94.1,221.0,3.581,64
nutrients_d2_h16,nutrients,1086.5,thriving,#00FF7F,4.1,90.7,-192.7,213.0,5.152,64
air_quality_d2_h16,air_quality,13.5,thriving,#FF69B4,3.5,197.0,92.7,217.8,6.723,64
light_d2_h17,light,339.8,concerned,#FF6347,4.3,-97.2,190.8,214.1,2.042,65
humidity_d2_h17,humidity,57.0,content,#00CED1,4.9,-198.6,-101.2,222.9,3.613,65
nutrients_d2_h17,nutrients,1083.6,thriving,#00FF7F,4.2,96.5,-189.4,212.6,5.184,65
air_quality_d2_h17,air_quality,13.4,thriving,#FF69B4,3.7,186.4,95.0,209.2,6.754,65
light_d2_h18,light,200.0,stressed,#FF4500,4.9,-105.5,191.9,219.0,2.073,66
humidity_d2_h18,humidity,57.5,thriving,#00FFFF,3.5,-190.2,-104.6,217.1,3.644,66
nutrients_d2_h18,nutrients,1094.3,thriving,#00FF7F,4.2,104.6,-190.2,217.1,5.215,66
air_quality_d2_h18,air_quality,16.8,stable,#C71585,4.7,196.4,108.0,224.2,6.786,66
light_d2_h19,light,40.0,critical,#DC143C,4.6,-110.9,187.4,217.8,2.105,67
humidity_d2_h19,humidity,62.6,thriving,#00FFFF,3.5,-183.5,-108.5,213.2,3.676,67
nutrients_d2_h19,nutrients,1099.0,thriving,#00FF7F,4.5,116.0,-196.1,227.8,5.246,67
