source,target,strength,connection_type,color_flow,time
light_d0_h21,light_d4_h21,1,radial_burst,time_echo,117
humidity_d0_h20,humidity_d0_h21,2,temporal,neutral,21
nutrients_d0_h20,nutrients_d0_h21,2,temporal,positive,21
air_quality_d0_h20,air_quality_d0_h21,2,temporal,neutral,21
air_quality_d0_h21,air_quality_d5_h21,1,radial_burst,time_echo,141
light_d0_h21,light_d0_h22,2,temporal,negative,22
light_d0_h22,air_quality_d0_h22,1.5,physiological,cross_sensor,22
humidity_d0_h21,humidity_d0_h22,2,temporal,neutral,22
nutrients_d0_h21,nutrients_d0_h22,2,temporal,positive,22
air_quality_d0_h21,air_quality_d0_h22,2,temporal,neutral,22
light_d0_h22,light_d0_h23,2,temporal,negative,23
light_d0_h23,light_d5_h23,1,radial_burst,time_echo,143
humidity_d0_h22,humidity_d0_h23,2,temporal,neutral,23
humidity_d0_h23,nutrients_d0_h23,1.5,physiological,cross_sensor,23
nutrients_d0_h22,nutrients_d0_h23,2,temporal,neutral,23
nutrients_d0_h23,nutrients_d4_h23,1,radial_burst,time_echo,119
air_quality_d0_h22,air_quality_d0_h23,2,temporal,positive,23
air_quality_d0_h23,air_quality_d3_h23,1,radial_burst,time_echo,95
light_d0_h23,light_d1_h0,2,temporal,negative,24
humidity_d0_h23,humidity_d1_h0,2,temporal,neutral,24
nutrients_d0_h23,nutrients_d1_h0,2,temporal,positive,24
air_quality_d0_h23,air_quality_d1_h0,2,temporal,positive,24
light_d1_h0,light_d1_h1,2,temporal,negative,25
humidity_d1_h0,humidity_d1_h1,2,temporal,neutral,25
nutrients_d1_h0,nutrients_d1_h1,2,temporal,positive,25
air_quality_d1_h0,air_quality_d1_h1,2,temporal,positive,25
light_d1_h1,light_d1_h2,2,temporal,negative,26
humidity_d1_h1,humidity_d1_h2,2,temporal,neutral,26
nutrients_d1_h1,nutrients_d1_h2,2,temporal,positive,26
air_quality_d1_h1,air_quality_d1_h2,2,temporal,neutral,26
light_d1_h2,light_d1_h3,2,temporal,negative,27
humidity_d1_h2,humidity_d1_h3,2,temporal,neutral,27
nutrients_d1_h2,nutrients_d1_h3,2,temporal,positive,27
air_quality_d1_h2,air_quality_d1_h3,2,temporal,negative,27
light_d1_h3,light_d1_h4,2,temporal,negative,28
humidity_d1_h3,humidity_d1_h4,2,temporal,neutral,28
nutrients_d1_h3,nutrients_d1_h4,2,temporal,positive,28
air_quality_d1_h3,air_quality_d1_h4,2,temporal,neutral,28
light_d1_h4,light_d1_h5,2,temporal,negative,29
humidity_d1_h4,humidity_d1_h5,2,temporal,neutral,29
nutrients_d1_h4,nutrients_d1_h5,2,temporal,positive,29
nutrients_d1_h5,humidity_d1_h5,1.5,physiological,cross_sensor,29
air_quality_d1_h4,air_quality_d1_h5,2,temporal,positive,29
light_d1_h5,light_d1_h6,2,temporal,neutral,30
humidity_d1_h5,humidity_d1_h6,2,temporal,positive,30
nutrients_d1_h5,nutrients_d1_h6,2,temporal,positive,30
air_quality_d1_h5,air_quality_d1_h6,2,temporal,negative,30
light_d1_h6,light_d1_h7,2,temporal,neutral,31
humidity_d1_h6,humidity_d1_h7,2,temporal,positive,31
humidity_d1_h7,light_d1_h7,1.5,physiological,cross_sensor,31
nutrients_d1_h6,nutrients_d1_h7,2,temporal,positive,31
air_quality_d1_h6,air_quality_d1_h7,2,temporal,neutral,31
light_d1_h7,light_d1_h8,2,temporal,neutral,32
humidity_d1_h7,humidity_d1_h8,2,temporal,neutral,32
nutrients_d1_h7,nutrients_d1_h8,2,temporal,positive,32
air_quality_d1_h7,air_quality_d1_h8,2,temporal,neutral,32
light_d1_h8,light_d1_h9,2,temporal,neutral,33
humidity_d1_h8,humidity_d1_h9,2,temporal,neutral,33
nutrients_d1_h8,nutrients_d1_h9,2,temporal,positive,33
air_quality_d1_h8,air_quality_d1_h9,2,temporal,positive,33
light_d1_h9,light_d1_h10,2,temporal,neutral,34
humidity_d1_h9,humidity_d1_h10,2,temporal,neutral,34
nutrients_d1_h9,nutrients_d1_h10,2,temporal,positive,34
air_quality_d1_h9,air_quality_d1_h10,2,temporal,neutral,34
light_d1_h10,light_d1_h11,2,temporal,neutral,35
humidity_d1_h10,humidity_d1_h11,2,temporal,neutral,35
humidity_d1_h11,air_quality_d1_h11,1.5,physiological,cross_sensor,35
nutrients_d1_h10,nutrients_d1_h11,2,temporal,positive,35
air_quality_d1_h10,air_quality_d1_h11,2,temporal,positive,35
light_d1_h11,light_d1_h12,2,temporal,neutral,36
humidity_d1_h11,humidity_d1_h12,2,temporal,neutral,36
nutrients_d1_h11,nutrients_d1_h12,2,temporal,positive,36
air_quality_d1_h11,air_quality_d1_h12,2,temporal,positive,36
light_d1_h12,light_d1_h13,2,temporal,neutral,37
humidity_d1_h12,humidity_d1_h13,2,temporal,neutral,37
nutrients_d1_h12,nutrients_d1_h13,2,temporal,positive,37
air_quality_d1_h12,air_quality_d1_h13,2,temporal,neutral,37
light_d1_h13,light_d1_h14,2,temporal,neutral,38
humidity_d1_h13,humidity_d1_h14,2,temporal,neutral,38
nutrients_d1_h13,nutrients_d1_h14,2,temporal,positive,38
air_quality_d1_h13,air_quality_d1_h14,2,temporal,positive,38
light_d1_h14,light_d1_h15,2,temporal,neutral,39
humidity_d1_h14,humidity_d1_h15,2,temporal,neutral,39
nutrients_d1_h14,nutrients_d1_h15,2,temporal,positive,39
air_quality_d1_h14,air_quality_d1_h15,2,temporal,neutral,39
light_d1_h15,light_d1_h16,2,temporal,neutral,40
light_d1_h16,nutrients_d1_h16,1.5,physiological,cross_sensor,40
humidity_d1_h15,humidity_d1_h16,2,temporal,neutral,40
nutrients_d1_h15,nutrients_d1_h16,2,temporal,positive,40
air_quality_d1_h15,air_quality_d1_h16,2,temporal,positive,40
light_d1_h16,light_d1_h17,2,temporal,neutral,41
humidity_d1_h16,humidity_d1_h17,2,temporal,positive,41
humidity_d1_h17,nutrients_d1_h17,1.5,physiological,cross_sensor,41
nutrients_d1_h16,nutrients_d1_h17,2,temporal,positive,41
air_quality_d1_h16,air_quality_d1_h17,2,temporal,neutral,41
light_d1_h17,light_d1_h18,2,temporal,neutral,42
light_d1_h18,air_quality_d1_h18,1.5,physiological,cross_sensor,42
humidity_d1_h17,humidity_d1_h18,2,temporal,neutral,42
nutrients_d1_h17,nutrients_d1_h18,2,temporal,positive,42
air_quality_d1_h17,air_quality_d1_h18,2,temporal,positive,42
light_d1_h18,light_d1_h19,2,temporal,negative,43
humidity_d1_h18,humidity_d1_h19,2,temporal,positive,43
nutrients_d1_h18,nutrients_d1_h19,2,temporal,positive,43
air_quality_d1_h18,air_quality_d1_h19,2,temporal,neutral,43
light_d1_h19,light_d1_h20,2,temporal,negative,44
humidity_d1_h19,humidity_d1_h20,2,temporal,neutral,44
nutrients_d1_h19,nutrients_d1_h20,2,temporal,positive,44
air_quality_d1_h19,air_quality_d1_h20,2,temporal,positive,44
light_d1_h20,light_d1_h21,2,temporal,negative,45
humidity_d1_h20,humidity_d1_h21,2,temporal,neutral,45
nutrients_d1_h20,nutrients_d1_h21,2,temporal,positive,45
air_quality_d1_h20,air_quality_d1_h21,2,temporal,neutral,45
light_d1_h21,light_d1_h22,2,temporal,negative,46
humidity_d1_h21,humidity_d1_h22,2,temporal,neutral,46
nutrients_d1_h21,nutrients_d1_h22,2,temporal,positive,46
nutrients_d1_h22,air_quality_d1_h22,1.5,physiological,cross_sensor,46
air_quality_d1_h21,air_quality_d1_h22,2,temporal,positive,46
light_d1_h22,light_d1_h23,2,temporal,negative,47
humidity_d1_h22,humidity_d1_h23,2,temporal,neutral,47
humidity_d1_h23,air_quality_d1_h23,1.5,physiological,cross_sensor,47
nutrients_d1_h22,nutrients_d1_h23,2,temporal,positive,47
air_quality_d1_h22,air_quality_d1_h23,2,temporal,neutral,47
light_d1_h23,light_d2_h0,2,temporal,negative,48
humidity_d1_h23,humidity_d2_h0,2,temporal,neutral,48
nutrients_d1_h23,nutrients_d2_h0,2,temporal,positive,48
air_quality_d1_h23,air_quality_d2_h0,2,temporal,positive,48
light_d2_h0,light_d2_h1,2,temporal,negative,49
humidity_d2_h0,humidity_d2_h1,2,temporal,neutral,49
nutrients_d2_h0,nutrients_d2_h1,2,temporal,positive,49
air_quality_d2_h0,air_quality_d2_h1,2,temporal,positive,49
light_d2_h1,light_d2_h2,2,temporal,negative,50
humidity_d2_h1,humidity_d2_h2,2,temporal,neutral,50
nutrients_d2_h1,nutrients_d2_h2,2,temporal,positive,50
air_quality_d2_h1,air_quality_d2_h2,2,temporal,neutral,50
light_d2_h2,light_d2_h3,2,temporal,negative,51
light_d2_h3,air_quality_d2_h3,1.5,physiological,cross_sensor,51
humidity_d2_h2,humidity_d2_h3,2,temporal,neutral,51
nutrients_d2_h2,nutrients_d2_h3,2,temporal,positive,51
air_quality_d2_h2,air_quality_d2_h3,2,temporal,positive,51
light_d2_h3,light_d2_h4,2,temporal,negative,52
humidity_d2_h3,humidity_d2_h4,2,temporal,neutral,52
nutrients_d2_h3,nutrients_d2_h4,2,temporal,positive,52
air_quality_d2_h3,air_quality_d2_h4,2,temporal,neutral,52
light_d2_h4,light_d2_h5,2,temporal,negative,53
humidity_d2_h4,humidity_d2_h5,2,temporal,positive,53
nutrients_d2_h4,nutrients_d2_h5,2,temporal,positive,53
air_quality_d2_h4,air_quality_d2_h5,2,temporal,positive,53
light_d2_h5,light_d2_h6,2,temporal,neutral,54
light_d2_h6,air_quality_d2_h6,1.5,physiological,cross_sensor,54
humidity_d2_h5,humidity_d2_h6,2,temporal,positive,54
nutrients_d2_h5,nutrients_d2_h6,2,temporal,positive,54
air_quality_d2_h5,air_quality_d2_h6,2,temporal,positive,54
light_d2_h6,light_d2_h7,2,temporal,neutral,55
light_d2_h7,air_quality_d2_h7,1.5,physiological,cross_sensor,55
humidity_d2_h6,humidity_d2_h7,2,temporal,positive,55
nutrients_d2_h6,nutrients_d2_h7,2,temporal,positive,55
air_quality_d2_h6,air_quality_d2_h7,2,temporal,positive,55
light_d2_h7,light_d2_h8,2,temporal,neutral,56
humidity_d2_h7,humidity_d2_h8,2,temporal,positive,56
nutrients_d2_h7,nutrients_d2_h8,2,temporal,positive,56
air_quality_d2_h7,air_quality_d2_h8,2,temporal,positive,56
light_d2_h8,light_d2_h9,2,temporal,neutral,57
humidity_d2_h8,humidity_d2_h9,2,temporal,neutral,57
nutrients_d2_h8,nutrients_d2_h9,2,temporal,positive,57
air_quality_d2_h8,air_quality_d2_h9,2,temporal,neutral,57
light_d2_h9,light_d2_h10,2,temporal,neutral,58
humidity_d2_h9,humidity_d2_h10,2,temporal,neutral,58
nutrients_d2_h9,nutrients_d2_h10,2,temporal,positive,58
air_quality_d2_h9,air_quality_d2_h10,2,temporal,positive,58
light_d2_h10,light_d2_h11,2,temporal,neutral,59
humidity_d2_h10,humidity_d2_h11,2,temporal,neutral,59
nutrients_d2_h10,nutrients_d2_h11,2,temporal,positive,59
air_quality_d2_h10,air_quality_d2_h11,2,temporal,positive,59
light_d2_h11,light_d2_h12,2,temporal,neutral,60
humidity_d2_h11,humidity_d2_h12,2,temporal,neutral,60
nutrients_d2_h11,nutrients_d2_h12,2,temporal,positive,60
air_quality_d2_h11,air_quality_d2_h12,2,temporal,neutral,60
light_d2_h12,light_d2_h13,2,temporal,neutral,61
humidity_d2_h12,humidity_d2_h13,2,temporal,neutral,61
nutrients_d2_h12,nutrients_d2_h13,2,temporal,positive,61
nutrients_d2_h13,light_d2_h13,1.5,physiological,cross_sensor,61
air_quality_d2_h12,air_quality_d2_h13,2,temporal,neutral,61
light_d2_h13,light_d2_h14,2,temporal,neutral,62
humidity_d2_h13,humidity_d2_h14,2,temporal,neutral,62
nutrients_d2_h13,nutrients_d2_h14,2,temporal,positive,62
air_quality_d2_h13,air_quality_d2_h14,2,temporal,positive,62
light_d2_h14,light_d2_h15,2,temporal,neutral,63
humidity_d2_h14,humidity_d2_h15,2,temporal,neutral,63
nutrients_d2_h14,nutrients_d2_h15,2,temporal,positive,63
nutrients_d2_h15,air_quality_d2_h15,1.5,physiological,cross_sensor,63
air_quality_d2_h14,air_quality_d2_h15,2,temporal,neutral,63
light_d2_h15,light_d2_h16,2,temporal,neutral,64
humidity_d2_h15,humidity_d2_h16,2,temporal,positive,64
nutrients_d2_h15,nutrients_d2_h16,2,temporal,positive,64
air_quality_d2_h15,air_quality_d2_h16,2,temporal,positive,64
light_d2_h16,light_d2_h17,2,temporal,neutral,65
humidity_d2_h16,humidity_d2_h17,2,temporal,neutral,65
nutrients_d2_h16,nutrients_d2_h17,2,temporal,positive,65
air_quality_d2_h16,air_quality_d2_h17,2,temporal,positive,65
light_d2_h17,light_d2_h18,2,temporal,neutral,66
humidity_d2_h17,humidity_d2_h18,2,temporal,positive,66
nutrients_d2_h17,nutrients_d2_h18,2,temporal,positive,66
air_quality_d2_h17,air_quality_d2_h18,2,temporal,neutral,66
light_d2_h18,light_d2_h19,2,temporal,negative,67
humidity_d2_h18,humidity_d2_h19,2,temporal,positive,67
nutrients_d2_h18,nutrients_d2_h19,2,temporal,positive,67
air_quality_d2_h18,air_quality_d2_h19,2,temporal,positive,67
light_d2_h19,light_d2_h20,2,temporal,negative,68
humidity_d2_h19,humidity_d2_h20,2,temporal,positive,68
nutrients_d2_h19,nutrients_d2_h20,2,temporal,positive,68
air_quality_d2_h19,air_quality_d2_h20,2,temporal,neutral,68
light_d2_h20,light_d2_h21,2,temporal,negative,69
humidity_d2_h20,humidity_d2_h21,2,temporal,neutral,69
nutrients_d2_h20,nutrients_d2_h21,2,temporal,positive,69
air_quality_d2_h20,air_quality_d2_h21,2,temporal,neutral,69
light_d2_h21,light_d2_h22,2,temporal,negative,70
humidity_d2_h21,humidity_d2_h22,2,temporal,neutral,70
nutrients_d2_h21,nutrients_d2_h22,2,temporal,positive,70
air_quality_d2_h21,air_quality_d2_h22,2,temporal,positive,70
light_d2_h22,light_d2_h23,2,temporal,negative,71
humidity_d2_h22,humidity_d2_h23,2,temporal,neutral,71
nutrients_d2_h22,nutrients_d2_h23,2,temporal,positive,71
air_quality_d2_h22,air_quality_d2_h23,2,temporal,positive,71
light_d2_h23,light_d3_h0,0.8,temporal,negative,72
humidity_d2_h23,humidity_d3_h0,0.8,temporal,neutral,72
humidity_d3_h0,air_quality_d3_h0,1.5,physiological,cross_sensor,72
nutrients_d2_h23,nutrients_d3_h0,0.8,temporal,positive,72
air_quality_d2_h23,air_quality_d3_h0,0.8,temporal,positive,72
light_d3_h0,light_d3_h1,0.8,temporal,negative,73
humidity_d3_h0,humidity_d3_h1,0.8,temporal,neutral,73
nutrients_d3_h0,nutrients_d3_h1,0.8,temporal,positive,73
air_quality_d3_h0,air_quality_d3_h1,0.8,temporal,positive,73
light_d3_h1,light_d3_h2,0.8,temporal,negative,74
humidity_d3_h1,humidity_d3_h2,0.8,temporal,neutral,74
nutrients_d3_h1,nutrients_d3_h2,0.8,temporal,positive,74
air_quality_d3_h1,air_quality_d3_h2,0.8,temporal,positive,74
light_d3_h2,light_d3_h3,0.8,temporal,negative,75
humidity_d3_h2,humidity_d3_h3,0.8,temporal,neutral,75
nutrients_d3_h2,nutrients_d3_h3,0.8,temporal,positive,75
air_quality_d3_h2,air_quality_d3_h3,0.8,temporal,neutral,75
light_d3_h3,light_d3_h4,0.8,temporal,negative,76
humidity_d3_h3,humidity_d3_h4,0.8,temporal,neutral,76
nutrients_d3_h3,nutrients_d3_h4,0.8,temporal,positive,76
air_quality_d3_h3,air_quality_d3_h4,0.8,temporal,neutral,76
light_d3_h4,light_d3_h5,0.8,temporal,negative,77
humidity_d3_h4,humidity_d3_h5,0.8,temporal,neutral,77
nutrients_d3_h4,nutrients_d3_h5,0.8,temporal,positive,77
air_quality_d3_h4,air_quality_d3_h5,0.8,temporal,positive,77
light_d3_h5,light_d3_h6,0.8,temporal,neutral,78
humidity_d3_h5,humidity_d3_h6,0.8,temporal,neutral,78
nutrients_d3_h5,nutrients_d3_h6,0.8,temporal,positive,78
air_quality_d3_h5,air_quality_d3_h6,0.8,temporal,positive,78
light_d3_h6,light_d3_h7,0.8,temporal,neutral,79
humidity_d3_h6,humidity_d3_h7,0.8,temporal,neutral,79
nutrients_d3_h6,nutrients_d3_h7,0.8,temporal,positive,79
air_quality_d3_h6,air_quality_d3_h7,0.8,temporal,positive,79
light_d3_h7,light_d3_h8,0.8,temporal,neutral,80
humidity_d3_h7,humidity_d3_h8,0.8,temporal,neutral,80
nutrients_d3_h7,nutrients_d3_h8,0.8,temporal,positive,80
air_quality_d3_h7,air_quality_d3_h8,0.8,temporal,positive,80
light_d3_h8,light_d3_h9,0.8,temporal,neutral,81
humidity_d3_h8,humidity_d3_h9,0.8,temporal,neutral,81
nutrients_d3_h8,nutrients_d3_h9,0.8,temporal,positive,81
air_quality_d3_h8,air_quality_d3_h9,0.8,temporal,neutral,81
light_d3_h9,light_d3_h10,0.8,temporal,neutral,82
humidity_d3_h9,humidity_d3_h10,0.8,temporal,neutral,82
nutrients_d3_h9,nutrients_d3_h10,0.8,temporal,positive,82
air_quality_d3_h9,air_quality_d3_h10,0.8,temporal,neutral,82
light_d3_h10,light_d3_h11,0.8,temporal,neutral,83
humidity_d3_h10,humidity_d3_h11,0.8,temporal,neutral,83
nutrients_d3_h10,nutrients_d3_h11,0.8,temporal,positive,83
air_quality_d3_h10,air_quality_d3_h11,0.8,temporal,positive,83
light_d3_h11,light_d3_h12,0.8,temporal,neutral,84
humidity_d3_h11,humidity_d3_h12,0.8,temporal,neutral,84
nutrients_d3_h11,nutrients_d3_h12,0.8,temporal,neutral,84
air_quality_d3_h11,air_quality_d3_h12,0.8,temporal,positive,84
light_d3_h12,light_d3_h13,0.8,temporal,neutral,85
humidity_d3_h12,humidity_d3_h13,0.8,temporal,neutral,85
nutrients_d3_h12,nutrients_d3_h13,0.8,temporal,positive,85
air_quality_d3_h12,air_quality_d3_h13,0.8,temporal,neutral,85
light_d3_h13,light_d3_h14,0.8,temporal,neutral,86
humidity_d3_h13,humidity_d3_h14,0.8,temporal,neutral,86
nutrients_d3_h13,nutrients_d3_h14,0.8,temporal,positive,86
nutrients_d3_h14,humidity_d3_h14,1.5,physiological,cross_sensor,86
air_quality_d3_h13,air_quality_d3_h14,0.8,temporal,neutral,86
light_d3_h14,light_d3_h15,0.8,temporal,neutral,87
light_d3_h15,nutrients_d3_h15,1.5,physiological,cross_sensor,87
humidity_d3_h14,humidity_d3_h15,0.8,temporal,neutral,87
nutrients_d3_h14,nutrients_d3_h15,0.8,temporal,positive,87
air_quality_d3_h14,air_quality_d3_h15,0.8,temporal,neutral,87
light_d3_h15,light_d3_h16,0.8,temporal,neutral,88
humidity_d3_h15,humidity_d3_h16,0.8,temporal,neutral,88
nutrients_d3_h15,nutrients_d3_h16,0.8,temporal,positive,88
air_quality_d3_h15,air_quality_d3_h16,0.8,temporal,neutral,88
light_d3_h16,light_d3_h17,0.8,temporal,neutral,89
humidity_d3_h16,humidity_d3_h17,0.8,temporal,positive,89
nutrients_d3_h16,nutrients_d3_h17,0.8,temporal,positive,89
air_quality_d3_h16,air_quality_d3_h17,0.8,temporal,neutral,89
light_d3_h17,light_d3_h18,0.8,temporal,neutral,90
humidity_d3_h17,humidity_d3_h18,0.8,temporal,positive,90
nutrients_d3_h17,nutrients_d3_h18,0.8,temporal,positive,90
nutrients_d3_h18,humidity_d3_h18,1.5,physiological,cross_sensor,90
air_quality_d3_h17,air_quality_d3_h18,0.8,temporal,positive,90
air_quality_d3_h18,light_d3_h18,1.5,physiological,cross_sensor,90
light_d3_h18,light_d3_h19,0.8,temporal,negative,91
humidity_d3_h18,humidity_d3_h19,0.8,temporal,positive,91
nutrients_d3_h18,nutrients_d3_h19,0.8,temporal,positive,91
nutrients_d3_h19,humidity_d3_h19,1.5,physiological,cross_sensor,91
air_quality_d3_h18,air_quality_d3_h19,0.8,temporal,positive,91
light_d3_h19,light_d3_h20,0.8,temporal,negative,92
humidity_d3_h19,humidity_d3_h20,0.8,temporal,positive,92
