id,sensor_type,reading_value,health_state,color,color_with_alpha,size,week,crisis_level,plant_condition,time_hour,opacity,velocity_x,velocity_y,force_strength,movement_pattern,oscillation_speed,emotional_state
humidity_h76,humidity,63.09,HEALTHY,#00FF00,#00FF001B,10,1,GOOD,HUMIDITY_HEALTHY_63,76,0.11,-0.344,0.362,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h76,nutrients,26.3,HEALTHY,#00FF00,#00FF001B,10,1,GOOD,NUTRIENTS_HEALTHY_26,76,0.11,-0.362,-0.344,0.3,gentle_orbit,0.5,healthy_motion
ph_h76,ph,6.54,HEALTHY,#00FF00,#00FF001B,10,1,GOOD,PH_HEALTHY_7,76,0.11,0.344,-0.362,0.3,gentle_orbit,0.5,healthy_motion
light_h80,light,79.49,MONITORING,#0088FF,#0088FF1C,8,1,WATCH,LIGHT_MONITORING_79,80,0.11,-0.59,0.54,0.6,cautious_circle,1.5,monitoring_motion
humidity_h80,humidity,52.28,HEALTHY,#00FF00,#00FF001C,10,1,GOOD,HUMIDITY_HEALTHY_52,80,0.11,-0.359,0.348,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h80,nutrients,23.31,HEALTHY,#00FF00,#00FF001C,10,1,GOOD,NUTRIENTS_HEALTHY_23,80,0.11,-0.348,-0.359,0.3,gentle_orbit,0.5,healthy_motion
ph_h80,ph,6.71,HEALTHY,#00FF00,#00FF001C,10,1,GOOD,PH_HEALTHY_7,80,0.11,0.359,-0.348,0.3,gentle_orbit,0.5,healthy_motion
light_h84,light,49.57,HEALTHY,#00FF00,#00FF001E,10,1,GOOD,LIGHT_HEALTHY_50,84,0.12,0.334,0.372,0.3,gentle_orbit,0.5,healthy_motion
humidity_h84,humidity,49.61,MONITORING,#0088FF,#0088FF1E,8,1,WATCH,HUMIDITY_MONITORING_50,84,0.12,-0.466,-0.65,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h84,nutrients,28,HEALTHY,#00FF00,#00FF001E,10,1,GOOD,NUTRIENTS_HEALTHY_28,84,0.12,-0.334,-0.372,0.3,gentle_orbit,0.5,healthy_motion
ph_h84,ph,6.75,HEALTHY,#00FF00,#00FF001E,10,1,GOOD,PH_HEALTHY_7,84,0.12,0.372,-0.334,0.3,gentle_orbit,0.5,healthy_motion
light_h88,light,28.18,MONITORING,#0088FF,#0088FF1F,8,1,WATCH,LIGHT_MONITORING_28,88,0.12,-0.701,0.385,0.6,cautious_circle,1.5,monitoring_motion
humidity_h88,humidity,53.39,HEALTHY,#00FF00,#00FF001F,10,1,GOOD,HUMIDITY_HEALTHY_53,88,0.12,-0.385,0.319,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h88,nutrients,24.42,HEALTHY,#00FF00,#00FF001F,10,1,GOOD,NUTRIENTS_HEALTHY_24,88,0.12,-0.319,-0.385,0.3,gentle_orbit,0.5,healthy_motion
ph_h88,ph,6.53,HEALTHY,#00FF00,#00FF001F,10,1,GOOD,PH_HEALTHY_7,88,0.12,0.385,-0.319,0.3,gentle_orbit,0.5,healthy_motion
light_h92,light,25.71,MONITORING,#0088FF,#0088FF21,8,1,WATCH,LIGHT_MONITORING_26,92,0.13,-0.742,0.298,0.6,cautious_circle,1.5,monitoring_motion
humidity_h92,humidity,68.38,HEALTHY,#00FF00,#00FF0021,10,1,GOOD,HUMIDITY_HEALTHY_68,92,0.13,-0.398,0.303,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h92,nutrients,26.53,HEALTHY,#00FF00,#00FF0021,10,1,GOOD,NUTRIENTS_HEALTHY_27,92,0.13,-0.303,-0.398,0.3,gentle_orbit,0.5,healthy_motion
ph_h92,ph,6.62,HEALTHY,#00FF00,#00FF0021,10,1,GOOD,PH_HEALTHY_7,92,0.13,0.398,-0.303,0.3,gentle_orbit,0.5,healthy_motion
light_h96,light,62.37,HEALTHY,#00FF00,#00FF0022,10,1,GOOD,LIGHT_HEALTHY_62,96,0.13,0.287,0.41,0.3,gentle_orbit,0.5,healthy_motion
humidity_h96,humidity,71.52,MONITORING,#0088FF,#0088FF22,8,1,WATCH,HUMIDITY_MONITORING_72,96,0.13,-0.207,-0.773,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h96,nutrients,22.78,HEALTHY,#00FF00,#00FF0022,10,1,GOOD,NUTRIENTS_HEALTHY_23,96,0.13,-0.287,-0.41,0.3,gentle_orbit,0.5,healthy_motion
ph_h96,ph,6.65,HEALTHY,#00FF00,#00FF0022,10,1,GOOD,PH_HEALTHY_7,96,0.13,0.41,-0.287,0.3,gentle_orbit,0.5,healthy_motion
light_h100,light,69.12,MONITORING,#0088FF,#0088FF23,8,1,WATCH,LIGHT_MONITORING_69,100,0.14,-0.792,0.113,0.6,cautious_circle,1.5,monitoring_motion
humidity_h100,humidity,71.18,MONITORING,#0088FF,#0088FF23,8,1,WATCH,HUMIDITY_MONITORING_71,100,0.14,-0.113,-0.792,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h100,nutrients,25.36,HEALTHY,#00FF00,#00FF0023,10,1,GOOD,NUTRIENTS_HEALTHY_25,100,0.14,-0.27,-0.421,0.3,gentle_orbit,0.5,healthy_motion
ph_h100,ph,6.79,HEALTHY,#00FF00,#00FF0023,10,1,GOOD,PH_HEALTHY_7,100,0.14,0.421,-0.27,0.3,gentle_orbit,0.5,healthy_motion
light_h104,light,69.33,MONITORING,#0088FF,#0088FF25,8,1,WATCH,LIGHT_MONITORING_69,104,0.14,-0.8,0.017,0.6,cautious_circle,1.5,monitoring_motion
humidity_h104,humidity,55.8,HEALTHY,#00FF00,#00FF0025,10,1,GOOD,HUMIDITY_HEALTHY_56,104,0.14,-0.431,0.253,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h104,nutrients,26.89,HEALTHY,#00FF00,#00FF0025,10,1,GOOD,NUTRIENTS_HEALTHY_27,104,0.14,-0.253,-0.431,0.3,gentle_orbit,0.5,healthy_motion
ph_h104,ph,6.52,HEALTHY,#00FF00,#00FF0025,10,1,GOOD,PH_HEALTHY_7,104,0.14,0.431,-0.253,0.3,gentle_orbit,0.5,healthy_motion
light_h108,light,59.36,HEALTHY,#00FF00,#00FF0026,10,1,GOOD,LIGHT_HEALTHY_59,108,0.15,0.236,0.441,0.3,gentle_orbit,0.5,healthy_motion
humidity_h108,humidity,49.88,MONITORING,#0088FF,#0088FF26,8,1,WATCH,HUMIDITY_MONITORING_50,108,0.15,0.079,-0.796,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h108,nutrients,27.83,HEALTHY,#00FF00,#00FF0026,10,1,GOOD,NUTRIENTS_HEALTHY_28,108,0.15,-0.236,-0.441,0.3,gentle_orbit,0.5,healthy_motion
ph_h108,ph,6.56,HEALTHY,#00FF00,#00FF0026,10,1,GOOD,PH_HEALTHY_7,108,0.15,0.441,-0.236,0.3,gentle_orbit,0.5,healthy_motion
light_h112,light,29.41,MONITORING,#0088FF,#0088FF28,8,1,WATCH,LIGHT_MONITORING_29,112,0.16,-0.781,-0.173,0.6,cautious_circle,1.5,monitoring_motion
humidity_h112,humidity,52.11,HEALTHY,#00FF00,#00FF0028,10,1,GOOD,HUMIDITY_HEALTHY_52,112,0.16,-0.45,0.218,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h112,nutrients,25.94,HEALTHY,#00FF00,#00FF0028,10,1,GOOD,NUTRIENTS_HEALTHY_26,112,0.16,-0.218,-0.45,0.3,gentle_orbit,0.5,healthy_motion
ph_h112,ph,6.7,HEALTHY,#00FF00,#00FF0028,10,1,GOOD,PH_HEALTHY_7,112,0.16,0.45,-0.218,0.3,gentle_orbit,0.5,healthy_motion
light_h116,light,33.06,MONITORING,#0088FF,#0088FF29,8,1,WATCH,LIGHT_MONITORING_33,116,0.16,-0.755,-0.266,0.6,cautious_circle,1.5,monitoring_motion
humidity_h116,humidity,60.61,HEALTHY,#00FF00,#00FF0029,10,1,GOOD,HUMIDITY_HEALTHY_61,116,0.16,-0.458,0.2,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h116,nutrients,27.19,HEALTHY,#00FF00,#00FF0029,10,1,GOOD,NUTRIENTS_HEALTHY_27,116,0.16,-0.2,-0.458,0.3,gentle_orbit,0.5,healthy_motion
ph_h116,ph,6.27,HEALTHY,#00FF00,#00FF0029,10,1,GOOD,PH_HEALTHY_6,116,0.16,0.458,-0.2,0.3,gentle_orbit,0.5,healthy_motion
light_h120,light,59.29,HEALTHY,#00FF00,#00FF002B,10,1,GOOD,LIGHT_HEALTHY_59,120,0.17,0.181,0.466,0.3,gentle_orbit,0.5,healthy_motion
humidity_h120,humidity,75.64,MONITORING,#0088FF,#0088FF2B,8,1,WATCH,HUMIDITY_MONITORING_76,120,0.17,0.354,-0.717,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h120,nutrients,26.5,HEALTHY,#00FF00,#00FF002B,10,1,GOOD,NUTRIENTS_HEALTHY_27,120,0.17,-0.181,-0.466,0.3,gentle_orbit,0.5,healthy_motion
ph_h120,ph,6.42,HEALTHY,#00FF00,#00FF002B,10,1,GOOD,PH_HEALTHY_6,120,0.17,0.466,-0.181,0.3,gentle_orbit,0.5,healthy_motion
light_h124,light,81.75,MONITORING,#0088FF,#0088FF2C,8,1,WATCH,LIGHT_MONITORING_82,124,0.17,-0.67,-0.437,0.6,cautious_circle,1.5,monitoring_motion
humidity_h124,humidity,68.95,HEALTHY,#00FF00,#00FF002C,10,1,GOOD,HUMIDITY_HEALTHY_69,124,0.17,-0.473,0.162,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h124,nutrients,24.55,HEALTHY,#00FF00,#00FF002C,10,1,GOOD,NUTRIENTS_HEALTHY_25,124,0.17,-0.162,-0.473,0.3,gentle_orbit,0.5,healthy_motion
ph_h124,ph,6.49,HEALTHY,#00FF00,#00FF002C,10,1,GOOD,PH_HEALTHY_6,124,0.17,0.473,-0.162,0.3,gentle_orbit,0.5,healthy_motion
light_h128,light,73.07,MONITORING,#0088FF,#0088FF2D,8,1,WATCH,LIGHT_MONITORING_73,128,0.18,-0.613,-0.514,0.6,cautious_circle,1.5,monitoring_motion
humidity_h128,humidity,53.48,HEALTHY,#00FF00,#00FF002D,10,1,GOOD,HUMIDITY_HEALTHY_53,128,0.18,-0.479,0.143,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h128,nutrients,25.11,HEALTHY,#00FF00,#00FF002D,10,1,GOOD,NUTRIENTS_HEALTHY_25,128,0.18,-0.143,-0.479,0.3,gentle_orbit,0.5,healthy_motion
ph_h128,ph,6.31,HEALTHY,#00FF00,#00FF002D,10,1,GOOD,PH_HEALTHY_6,128,0.18,0.479,-0.143,0.3,gentle_orbit,0.5,healthy_motion
light_h132,light,53.18,HEALTHY,#00FF00,#00FF002F,10,1,GOOD,LIGHT_HEALTHY_53,132,0.18,0.124,0.484,0.3,gentle_orbit,0.5,healthy_motion
humidity_h132,humidity,50.78,MONITORING,#0088FF,#0088FF2F,8,1,WATCH,HUMIDITY_MONITORING_51,132,0.18,0.584,-0.547,0.6,cautious_circle,1.5,monitoring_motion
nutrients_h132,nutrients,23.33,HEALTHY,#00FF00,#00FF002F,10,1,GOOD,NUTRIENTS_HEALTHY_23,132,0.18,-0.124,-0.484,0.3,gentle_orbit,0.5,healthy_motion
ph_h132,ph,6.25,HEALTHY,#00FF00,#00FF002F,10,1,GOOD,PH_HEALTHY_6,132,0.18,0.484,-0.124,0.3,gentle_orbit,0.5,healthy_motion
light_h136,light,35.94,MONITORING,#0088FF,#0088FF30,8,1,WATCH,LIGHT_MONITORING_36,136,0.19,-0.473,-0.645,0.6,cautious_circle,1.5,monitoring_motion
humidity_h136,humidity,54.44,HEALTHY,#00FF00,#00FF0030,10,1,GOOD,HUMIDITY_HEALTHY_54,136,0.19,-0.489,0.105,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h136,nutrients,25.68,HEALTHY,#00FF00,#00FF0030,10,1,GOOD,NUTRIENTS_HEALTHY_26,136,0.19,-0.105,-0.489,0.3,gentle_orbit,0.5,healthy_motion
ph_h136,ph,6.66,HEALTHY,#00FF00,#00FF0030,10,1,GOOD,PH_HEALTHY_7,136,0.19,0.489,-0.105,0.3,gentle_orbit,0.5,healthy_motion
light_h140,light,40.16,MONITORING,#0088FF,#0088FF32,8,1,WATCH,LIGHT_MONITORING_40,140,0.19,-0.392,-0.697,0.6,cautious_circle,1.5,monitoring_motion
humidity_h140,humidity,61.92,HEALTHY,#00FF00,#00FF0032,10,1,GOOD,HUMIDITY_HEALTHY_62,140,0.19,-0.493,0.085,0.3,gentle_orbit,0.5,healthy_motion
nutrients_h140,nutrients,24.18,HEALTHY,#00FF00,#00FF0032,10,1,GOOD,NUTRIENTS_HEALTHY_24,140,0.19,-0.085,-0.493,0.3,gentle_orbit,0.5,healthy_motion
